Place,TOWN,Max_of_MED_INC,Min_of_MED_INC,Max_of_MED_AGE,Min_of_MED_AGE,ALAND,TOT_POP,COLL_AGE,YNG_PROF,SENIOR,R_WHITE,NON_WH,R_BLACK,R_NAT_A,R_ASIAN,R_PACIF,R_OTHER,R_2,R_2INCO,R_2_EXCO,TOT_WKRS,T0_9,T10_14,T15_19,T20_24,T25_29,T30_34,T35_44,T45_59,T60,DR_ALONE,CARPOOL,TRANSIT,TR0_9,TR10_14,TR15_19,TR20_24,TR25_29,TR30_34,TR35_44,TR45_59,TR60,WALK,TOT_HSHD,TPOP18,TOT_DIS,OC_UNITS,ZERO_VEH
Mystic River,Somerville,0,#N/A,0,#N/A,673591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natick,Natick,167663,37460,55.3,33.1,38729779,34230,847,4831,5013,29618,5169,531,83,3170,0,271,557,113,444,17721,1876,2062,1633,1956,776,2661,1797,2442,2518,14457,1113,1611,20,0,0,28,36,104,72,398,953,293,14044,25807,2494,14044,805
Needham,Needham,212000,46618,53.7,36.7,31841758,29540,1031,2649,5110,26128,4162,634,0,1970,0,58,750,141,609,13269,1218,1690,1449,1491,850,1881,1486,2047,1157,10417,945,1523,3,0,20,40,0,141,218,583,518,268,10536,20680,2034,10536,406
Neighborhood Nine,Cambridge,182664,54327,45.8,22.3,1710369,11686,1120,3298,1689,8074,3855,1753,28,1511,0,77,243,50,193,5640,599,611,764,869,332,1188,588,504,185,1706,154,2095,0,0,30,190,190,870,396,312,107,1309,5607,8989,690,5607,1702
Newton,Newton,250001,42762,54.2,19.7,46198310,86945,8223,10712,13696,69053,20253,3148,42,11609,0,732,2361,253,2108,39610,3674,4236,4883,5732,2707,7448,4164,4279,2487,27765,3353,5027,0,108,81,188,243,931,832,1601,1043,2547,31175,60025,5805,31175,2069
Norfolk,Norfolk,156438,98144,47.1,41.3,38600973,11529,409,1725,1048,10039,1561,873,17,134,0,395,71,23,48,4334,402,360,434,325,194,498,338,789,994,3311,251,672,0,0,20,0,0,0,0,142,510,61,3185,6810,428,3185,43
North Cambridge,Cambridge,106283,30370,47.4,31.8,2227645,12173,213,3547,1450,7436,5166,2377,28,1655,0,248,429,156,273,6734,258,449,758,911,657,1409,869,747,676,2887,445,2386,16,0,80,224,194,564,487,492,329,663,5517,9833,1044,5517,1389
North End,Boston,170313,58750,56.4,26.9,645073,11345,326,5848,1732,10435,1110,97,0,530,0,83,200,14,186,7764,834,1077,1775,1403,462,1058,399,383,373,1700,143,1522,8,34,73,412,145,338,174,192,146,4102,6699,10950,1043,6699,3462
North Reading,North Reading,176484,54304,50.6,32,34031610,15249,363,2085,2074,13780,1750,139,40,954,0,55,281,0,281,7516,486,564,739,1049,426,1168,792,785,1507,6642,433,345,0,18,0,0,0,0,18,12,297,49,5424,11611,933,5424,135
Norwood,Norwood,110313,47917,57.7,33.2,26854010,28844,1164,5290,4833,24274,4993,1254,4,1803,16,1070,423,0,423,14589,2048,1912,1521,1241,977,1926,1084,2022,1858,11803,872,1536,0,0,0,62,0,96,113,557,708,242,11623,22324,2958,11623,923
Pepperell,Pepperell,115096,30083,47.7,31.9,58533399,11782,618,1438,1291,11253,759,78,0,194,0,27,230,17,213,5854,444,391,430,710,454,1081,557,732,1055,5324,358,85,10,0,12,0,0,0,0,0,63,20,4203,8788,1069,4203,51
Plainville,Plainville,98152,39226,55.9,36,28482633,8581,269,1469,1040,8078,604,22,7,261,0,112,101,41,60,4848,562,393,805,618,276,818,341,422,613,4193,397,122,0,0,0,0,0,0,14,16,92,69,3391,6763,835,3391,149
Powder House,Somerville,108188,66071,36.8,29.3,1237418,10208,164,4515,1065,8651,1811,468,10,759,0,66,254,17,237,6445,263,454,600,692,529,1338,792,1100,677,2613,348,2621,0,7,99,220,205,531,451,642,466,421,4554,8952,659,4554,924
Prospect Hill,Somerville,96528,31577,43.3,31.1,515813,4106,108,1580,517,3420,825,108,7,247,0,185,139,31,108,2259,127,209,260,365,61,431,408,182,216,1017,223,559,0,7,51,86,29,124,200,26,36,226,1946,3581,497,1946,541
Quincy,Quincy,132792,16491,77.8,29.6,41661535,91083,4234,22248,13309,58812,34440,5192,175,23959,11,765,2169,340,1829,47227,3190,4709,4615,5052,2191,7304,4998,8179,6989,29071,3960,12684,10,59,273,621,233,1811,1855,4023,3799,1116,38844,75128,9250,38844,6219
Randolph,Randolph,120417,41125,53.4,34,25462929,33135,1715,5495,5001,13581,20385,14288,37,3662,0,736,831,178,653,15607,1324,1092,1607,1986,871,2170,1399,2312,2846,12166,1597,1598,72,30,0,62,15,49,118,184,1068,180,11903,26021,4428,11903,1172
Reading,Reading,126058,58346,49.2,32.9,25779077,25176,971,3232,3723,23452,1953,279,23,1079,0,114,229,34,195,12538,1465,1314,1345,1687,824,1872,1032,1272,1727,10796,640,766,0,0,0,0,17,51,111,215,372,195,9294,18751,1895,9294,461
Revere,Revere,107083,19606,54.1,27.5,12824785,48576,2160,10911,6397,36795,13942,2587,96,3011,0,3926,2161,117,2044,23811,1790,2867,2834,2540,1135,4329,2303,3106,2907,13983,2366,6473,7,260,356,264,262,1289,862,1441,1732,731,18099,39025,6312,18099,3428
Riverside,Cambridge,94100,41250,36.2,19.8,817801,13071,4361,4722,675,7920,5653,1704,26,2650,7,262,502,81,421,5851,1139,1049,990,666,275,782,455,216,279,1131,186,1530,6,60,75,276,70,502,235,119,187,2556,3896,7108,430,3896,1849
Roslindale,Boston,132917,5491,60.8,20.3,8037732,34910,1609,7294,4058,20277,16052,8557,370,1397,0,2890,1419,511,908,17712,810,762,1600,2385,1511,3437,2615,2517,2075,9853,1425,5599,82,20,124,367,294,1066,1023,1302,1321,249,13078,27427,3933,13078,2695
Roxbury,Boston,98750,9359,49.2,21,11000031,64765,5148,14068,6227,9935,57123,39250,447,1354,23,11463,2293,980,1313,24617,1557,2369,3164,3293,1339,5042,1973,2692,3188,10287,1686,10207,91,324,552,857,544,2424,1251,1920,2244,1588,24414,47600,10151,24414,10111
Sharon,Sharon,192125,90833,51.2,33.6,60703408,17879,396,1535,2430,13585,4773,751,18,2973,0,73,479,29,450,8736,721,467,800,721,371,1357,655,1760,1884,6678,466,1401,0,0,0,0,12,144,83,457,705,149,6333,12787,1309,6333,226
Sherborn,Sherborn,164632,112188,52.2,42.7,40966914,4200,117,270,649,3953,290,0,0,204,0,0,43,0,43,1793,96,250,95,220,47,304,288,249,244,1584,102,77,9,0,0,0,0,0,0,7,61,16,1441,2983,187,1441,21
Shirley,Shirley,78750,58965,47.8,39.3,41067318,7404,298,1405,752,5500,2431,689,2,64,13,609,527,135,392,2590,377,262,324,258,135,293,186,417,338,2355,90,114,0,0,17,0,0,0,0,0,97,11,2283,4215,531,2283,122
South Boston,Boston,144375,12377,47,21.5,6239203,36414,996,15666,3211,29671,7517,1958,141,1968,0,1902,774,244,530,22339,1456,2273,3197,4218,1880,4156,2033,1776,1350,10066,1499,7996,8,263,1168,2008,733,1717,775,720,604,2129,16727,31085,3211,16727,4863
South End,Boston,184271,13693,50.4,20,2598460,36001,3591,10668,3288,20564,16682,5998,30,5377,0,2787,1245,258,987,18361,1719,2521,2931,2837,1330,3216,1612,1007,1188,5112,830,6358,85,283,788,1468,445,1733,665,343,548,5419,16389,28510,3890,16389,7212
Spring Hill,Somerville,101500,47072,32.3,25.7,727521,7531,201,3959,556,6481,1277,53,0,631,8,131,227,0,227,4879,225,487,341,487,483,1198,696,533,429,1713,139,1852,0,0,124,138,179,562,329,311,209,709,3199,6702,304,3199,671
Stoneham,Stoneham,120625,43519,58,34.9,15589596,21611,800,3477,3946,20162,1690,315,6,703,0,184,241,102,139,11176,1424,1399,1608,1460,780,1551,881,1160,913,9682,564,636,0,0,0,12,49,23,70,215,267,189,9032,17654,2321,9032,795
Stoughton,Stoughton,125580,35288,56.8,33.9,41670925,27833,952,4215,5001,22855,5526,3016,101,719,0,594,548,139,409,13935,1917,1126,1472,1475,715,2152,935,1735,2408,11577,1164,872,9,0,26,12,27,15,34,223,526,262,10628,21875,3158,10628,767
